id,searched_keywords,searched_location,profile_crawled,title,currated_title,company,location,description,seniority,employent_type,job_function,industry
apprentice at uk national limited 2578596974,Apprentice,,TRUE,Apprentice,apprentice,UK NATIONAL LIMITED,"England, United Kingdom",,,,,
apprentice at pr apprenticeships 2584160318,Apprentice,,TRUE,Apprentice,apprentice,PR Apprenticeships,"London Area, United Kingdom",,,,,
apprentice at city electrical factors 2585581508,Apprentice,,TRUE,Apprentice,apprentice,City Electrical Factors,"Liverpool, England, United Kingdom",,,,,
apprentice at swift digital marketing 2593046049,Apprentice,,TRUE,Apprentice,apprentice,Swift Digital Marketing,"Oldbury, England, United Kingdom",,,,,
apprentice at bausch health companies inc 2600057784,Apprentice,,TRUE,Apprentice,apprentice,Bausch Health Companies Inc.,"Coll, Scotland, United Kingdom",,,,,
apprentice at worldline uk i 2554830804,Apprentice,,TRUE,Apprentice,apprentice,Worldline UK&I,"Beeston, England, United Kingdom",,,,,
apprentice at prolog fulfilment 2570438817,Apprentice,,TRUE,Apprentice,apprentice,Prolog Fulfilment,"Annesley, England, United Kingdom",,,,,
apprentice at cymer marketing solutions 2560371675,Apprentice,,TRUE,Apprentice,apprentice,Cymer Marketing Solutions,"Leicester, England, United Kingdom",,,,,
apprentice at bausch health companies inc 2600055960,Apprentice,,TRUE,Apprentice,apprentice,Bausch Health Companies Inc.,"Coll, Scotland, United Kingdom",,,,,
apprentice at day webster group 2588928946,Apprentice,,TRUE,Apprentice,apprentice,Day Webster Group,"Ilford, England, United Kingdom",,,,,
apprentice at greenshields roofing cladding limited 2573240949,Apprentice,,TRUE,Apprentice,apprentice,GREENSHIELDS ROOFING & CLADDING LIMITED,"Tamworth, England, United Kingdom",,,,,
apprentice at bright horizons family solutions 2601436890,Apprentice,,TRUE,Apprentice,apprentice,,"London, England, United Kingdom","Support and promote diversity and equality  Ensure you work as part of a team towards a common goal sharing ideas and feedback to create consistency  Demonstrate the HEART principles in everyday working life  Demonstrate a proactive approach using your initiative and showing resilience to take responsibility for getting things done  Work collaboratively, demonstrating appropriate behaviour and expectations  Work in partnership with parents/ carers and other professionals  Create the right environment to offer a unique experience for our parents and children  Demonstrate and ensure good practice and compliance with the revised EYFS Framework through adherence to BHFS policies and procedures  Understand the importance of keeping everyone safe and the part you play  Practice positive behaviour management techniques  Meeting the individual dietary, health, comfort and care needs of each individual child  Have a child centred approach, ensuring the activities on offer meet the children’s needs and are age appropriate  Contribute to children’s records through observation  Attend staff meetings and training sessions  Work alongside your assessor including attending all training required for completion of the formal qualification  Have ability to manage own time to complete required coursework in the given timeframe  Drive own development through active participation in appraisals, one to ones and requesting supervisions where required  Promote the nursery to current parents and potential customers, taking a BOLD approach to stand out amongst competitors  To complete your Level 2 Qualification will take a minimum of 12 months and to complete your level 3 will take a minimum of 18 months  Use reflection to proactively take on board new ideas and initiatives including feedback to enhance own developmentNoneExperience in any role, which includes face to face work directly with children, paid or voluntary  Experience working with babies either in a professional home base or early years provisionWillingness to undertake formal Level 2/3 Early Years qualification  Can demonstrate good numeracy and literacy skills  Willingness to gain Functional Skills in Maths and English Level 1/2Full and relevant Level 1 (or above) Early Years qualification  A-C grade in Maths and English  First Aid or 12 hour Paediatric First Aid qualification",,,,
apprentice at jcs interiors limited 2601368356,Apprentice,,TRUE,Apprentice,apprentice,JCS Interiors Limited,"Manchester Area, United Kingdom","Work on a live project alongside experienced drylining professions, learning on the job skills and experienceLearn General principles of building design and regulationMeasure and set out from drawings provided and check vertical and horizontal datum.Select the appropriate materials, tools and equipment in accordance with the specification requirements and or manufacturer specific instructions.Safely and correctly operate tools and equipment, plant and machinery appropriate for useApply fire and acoustic mastic seals in accordance with specification, designs details and manufacturers recommendationsInstall dry lining systems to metal and stud partitions framed wall linings, framed and frameless beam and column encasements.Positive “can do” attitudeAbility to work within a fast paced, hardworking teamAdaptability: be able to implement change and adjust existing requirements to meet the work instructions.Effective communication: oral, written, listening, body language, presentation – especially in working with othersThis is an exciting opportunity, and for the right candidate there will be the opportunity to work within the company after the apprenticeship is completed.",Full-time,,,
apprentice at swift digital marketing 2596901753,Apprentice,,TRUE,Apprentice,apprentice,Swift Digital Marketing,"Oldbury, England, United Kingdom",SEO Junior work (mix of research/content/technical)Support some of the Search Advertising (Google & Bing)Creation of digital contact such as videosSupporting the building and creation of Email campaigns through our automated systemA passion for digital marketing and an interest in working in a busy marketing departmentKeen and eager to learnGreat attention to detailLevel 3 Digital Marketer Apprenticeship consisting of the following modules:BCS Level 3 Award in Principles of CodingBCS Level 3 Certificate in Marketing PrinciplesGoogle Analytics IQ,,,,
apprentice draughtsperson reading at sse plc 2578806538,Apprentice,,TRUE,Apprentice   Draughtsperson   Reading,apprentice,SSE plc,"West Berkshire, England, United Kingdom","The programme can take 4 years to complete and is centred on work based learning and training linked directly to the job.By the end of the programme you’ll have gained valuable on-the job experience, new skills and an industry recognised accreditation, that will offer you the opportunity to build a rewarding and successful career in the energy sector. You will be supported by our Apprentice Programme Manager, a dedicated mentor, your SSE colleagues who you'll work with during your on the job training and also by the support you will receive from your college tutors.The college course will be day release and we will support you fully with this.Be able to demonstrate an interest in this area, perhaps you are already studying towards a relevant qualification.Be able to demonstrate an ability to use your initiative, be resilient to the continual changes within our sector and always focussed on delivering great results. You’ll have a thirst for knowledge and be able to pick up new skills quickly, working with others to achieve common goals and adjusting your behaviour to reflect the diversity of our workforce and customer base.Naturally, you’ll have a focus on safety and will adhere to our company motto “if it’s not safe, we don’t do it.”",Internship,Full-time,"General Business, Information Technology, and Engineering","Utilities, Oil & Energy, and Renewables & Environment"
apprentice electronic digital engineer at honeywell 2571894210,Apprentice,"London, England, United Kingdom",TRUE,Apprentice   Electronic and Digital Engineer,apprentice,Honeywell,"London, England, United Kingdom","JOB ID: req275295Category: Customer ExperienceLocation: London,GREATER LONDON,United Kingdom",,,,
apprentice gas at morgan sindall property services 2579866699,Apprentice,,TRUE,Apprentice   Gas,apprentice,Morgan Sindall Property Services,"London, England, United Kingdom","Attend all required college training days as the apprenticeship requires. Demonstrating good interpersonal skills and cultural awareness when dealing with colleagues, customers and clients during tasks Be compliant with uniform, dress code or PPE requirements for your role Complete all E-learning, and H&S training requirements in line with your role Act as an ambassador and positive role model to promote apprenticeship opportunities at community events, in line with our CSR and Social value agenda Assist with diligent problem solving, resolve and complete jobs at first visit to achieve excellent customer experience results, undertaking fault-finding and diagnostic work as determined by training/within competency under supervision Work in conjunction with the Team to deliver a reliable service Be responsible for your own safety and that of others as set out in the Company H&SE Policy Report any accidents, incidents, near misses Carry out administration duties as required by various support functions. Assist with the day to day tasks involved within the various support functions to include assisting the Scheduling Team, CPM and APM’s where necessary. Make use of computerised packages, eg. Word, Excel and Outlook to assist in supporting colleagues Develop an awareness of Health and Safety files and Risk and CoSHH assessments Ensure tools are kept in good working order Attend Tool Box TalksA positive, can do attitude to work Excellent customer service skills Hardworking and flexible Able to work as part of a team Capable of using your own initiative GCSE English (9-5 / A-D), Maths (9-5 / A-D) or equivalent qualification desirable",Internship,Full-time,Management and Manufacturing,"Construction, Nonprofit Organization Management, and Staffing and Recruiting"
apprentice london at prosek partners 2529975238,Apprentice,,TRUE,Apprentice   London,apprentice,Prosek Partners,"London, England, United Kingdom","Develop a strong knowledge of the media landscape by building media lists, pitching and establishing relationships with journalists.Become an expert in reading and analyzing news trends and developing timely pitch anglesWrite content (messaging, press releases and pitches) to propel your clients' brands.Take an owner's role in every element of account execution by keeping track of action items, taking thorough notes during internal and client calls and tracking the team's progress as it relates to media opportunities and progress across projects.Become a master researcher by participating in the business development process.Capital Markets and Asset ManagementProfessional Services and Financial TechnologyMedia Training and Reporter Relationship BuildingCrisis Communications and Special SituationsWealth Management and BankingClient ReadinessManagers are responsible for identifying their Apprentice's strengths, areas for development and interests to ensure they're given the right tools to succeed.Media buddies help Apprentices navigate the financial media landscape and develop their media relations skills.Mentors provide support to Apprentices as they acclimate to a new environment and corporate culture.Completed BS/BA degree by the start of the program.Strong interest in financial services, professional services, technology and B2B communications.Possess a team player mindset and willingness to work collaborativelyHave solid research and critical thinking skills along with strong time management and prioritization skills.Extreme attention to detail is a must.Strongly encouraged (but not required) to have prior PR internship(s).",,,,
apprentice rail engineering technician level 3 at siemens 2592451635,Apprentice,,TRUE,Apprentice   Rail Engineering Technician Level 3,apprentice,Siemens,"London, England, United Kingdom",,,,,
apprentice analyst at kbr employment services 2601338214,Apprentice,,TRUE,Apprentice  Analyst,apprentice,,"Wiltshire, England, United Kingdom",Microsoft Office - Predominantly Microsoft Excel. Ability to understand and utilise data for a range of Reporting needs. Develop Mechanisms to articulate and monitor Data Performance Understand and communicate Insight and Analysis in a way all end users will understand. Have the ability to manage and work to strict deadlines.Working knowledge of Microsoft Power BI Experience of CAFM system Knowledge of Concept Evolution Core Responsibilities and Duties,Internship,Full-time,Business Development and Sales,"Apparel & Fashion, Telecommunications, and Government Administration"
apprentice analyst at kbr careers gov solutions 2583399872,Apprentice,,TRUE,Apprentice  Analyst,apprentice,KBR Careers - Gov Solutions,"Swindon, England, United Kingdom",,,,,
apprentice  E2 80 93 environment and health impact assessment at ramboll 2594074718,Environmental Engineer,"London, England, United Kingdom",TRUE,"Apprentice – Environment and Health, Impact Assessment",apprentice,Ramboll,"London, England, United Kingdom","Undertaking desk based researchCoordinating with environmental specialists undertaking environmental surveys, assessments and design activitiesSupporting the drafting of impact assessment chaptersAssisting the team with identifying solutions to our client’s problemsContributing to Ramboll culture and valuesWorking with the team on any other administrative duties that may be requiredFrom A levels At least three A levels at Grades A*-C including Physical Science, or equivalent e.g. Geography, or MathematicsGrade C/Level 4 or above in at least 5 GCSEs including English Language and MathematicsStudents who have alternative or non-standard qualifications or have experience that needs to be credited on a Recognition of prior certificated learning (RPCL) and Recognition of Prior Experiential Learning (RPEL) basis are considered on an individual basis.Good attention to detail and can stay on top of tasksAble to take responsibility for actions and projectsGood time management skills to manage to deadlinesEffective communicator",Internship,Full-time,Consulting and Engineering,Environmental Services and Renewables & Environment
apprentice air conditioning at mitie 2559153664,Apprentice,,TRUE,Apprentice Air Conditioning,apprentice,Mitie,"Leeds, England, United Kingdom","Our purpose: our expertise, care, technology and insight create amazing work environments, helping our customers be exceptional every day. Our promise to our people: a place to work where you can thrive and be your best every day. Our promise to our customers: a trusted partner creating exceptional environments for your customers and people, adding value every day. Our culture – our core values and how we behave:We look for people who are passionate about maintenance and innovative technologyPeople who enjoy problem solving and getting hands on in their work, and want to deliver the exceptional, every dayYou should be able to engage with and enjoy the theoretical side of the course which has a maths and science base.To recongnise this is a client facing role and therefore behave in line with company values, whilst staying true to whom they are as a personTo fully commit to developing their technical and behavioural know-howTo attend and pass all courses, assessments and trainingTo raise and concerns and queries with the line manager and Apprenticeship manager as appropriateTo ensure they attend all reviews and meetings with the apprenticeship manager/team, line manager and providerTo comply with all company, Provider and Mitie policies and proceduresTo attend the site, NVQ and Training Provider insititue on the required dates and timesTo ensure coursework does not fall behind scheduleTo maintain accurate and up-to-date records to the specified standards at all times for the site, NVQ and Training provider instituteTo ensure that all collage assignments are handed in on timeTo keep designated manager/supervisor aware of progress and in particular to ensure that any coursework (NVQ) requirements are knownTo be pro-active and involved when looking at forthcoming in-company workTo make records available for review as and when requestedTo represent the company in a courteous and professional mannerTo ensure that personal and colleague health and safety is of upmost priority when working, and if in any doubt to not complete activities , and to raise concerns with managersTo adhere to agreements, terms and conditions that is stated in their contract*Must have Maths, Science and English GCSE Grade C / Level 2 or above – and be able to provide certificates *Has a keen interest in the chosen field/roleIs passionate and has enthusiasm to take on new skills and develop fresh new ideasIs self motivated and hard workingHas a logical, methodical approach to problem solvingHas a good level of accuracy and attention to detailEnergetic and determined, with a strong desire and focus to deliver added value and exceed client and Mitie business targetsA team player with excellent communication skills, attention to detail, excellent written English and a high level of numeracyGood Time managementBe able to implement change and adjust existing requirements to meet the work instructionsExercising responsibilities in an ethical mannerFollow Group and company policies and procedures at all timesReport any apparent deficiencies in systems of work or equipment provided that may result in failure of service delivery or risk to health and safety or the environmentUse all work equipment and personal PPE properly and in accordance with training receivedReport any issues or training needs to your Line manager and /or via your divisional incident reporting system;Ensure compliance with Mitie's information security procedures in all activities;Proactively identify and report security risks to your manager;",,,,
apprentice air conditioning at mitie 2580335703,Apprentice,,TRUE,Apprentice Air Conditioning,apprentice,Mitie,"Derby, England, United Kingdom","Our purpose: our expertise, care, technology and insight create amazing work environments, helping our customers be exceptional every day. Our promise to our people: a place to work where you can thrive and be your best every day. Our promise to our customers: a trusted partner creating exceptional environments for your customers and people, adding value every day. Our culture – our core values and how we behave:We look for people who are passionate about maintenance and innovative technologyPeople who enjoy problem solving and getting hands on in their work, and want to deliver the exceptional, every dayYou should be able to engage with and enjoy the theoretical side of the course which has a maths and science base.To recongnise this is a client facing role and therefore behave in line with company values, whilst staying true to whom they are as a personTo fully commit to developing their technical and behavioural know-howTo attend and pass all courses, assessments and trainingTo raise and concerns and queries with the line manager and Apprenticeship manager as appropriateTo ensure they attend all reviews and meetings with the apprenticeship manager/team, line manager and providerTo comply with all company, Provider and mitie policies and proceduresTo attend the site, NVQ and Training Provider insititue on the required dates and timesTo ensure coursework does not fall behind scheduleTo maintain accurate and up-to-date records to the specified standards at all times for the site, NVQ and Training provider instituteTo ensure that all collage assignments are handed in on timeTo keep designated manager/supervisor aware of progress and in particular to ensure that any coursework (NVQ) requirements are knownTo be pro-active and involved when looking at forthcoming in-company workTo make records available for review as and when requestedTo represent the company in a courteous and professional mannerTo ensure that personal and colleague health and safety is of upmost priority when working, and if in any doubt to not complete activities , and to raise concerns with managersTo adhere to agreements, terms and conditions that is stated in their contract*Must have Maths, Science and English GCSE Grade C / Level 2 or above – and be able to provide certificates *Has a keen interest in the chosen field/roleIs passionate and has enthusiasm to take on new skills and develop fresh new ideasIs self motivated and hard workingHas a logical, methodical approach to problem solvingHas a good level of accuracy and attention to detailEnergetic and determined, with a strong desire and focus to deliver added value and exceed client and Mitie business targetsA team player with excellent communication skills, attention to detail, excellent written English and a high level of numeracyGood Time managementBe able to implement change and adjust existing requirements to meet the work instructionsExercising responsibilities in an ethical mannerFollow Group and company policies and procedures at all timesReport any apparent deficiencies in systems of work or equipment provided that may result in failure of service delivery or risk to health and safety or the environmentUse all work equipment and personal PPE properly and in accordance with training receivedReport any issues or training needs to your Line manager and /or via your divisional incident reporting system;",,,,
apprentice air conditioning at mitie 2581556091,Apprentice,,TRUE,Apprentice Air Conditioning,apprentice,Mitie,"Barton, England, United Kingdom","Our purpose: our expertise, care, technology and insight create amazing work environments, helping our customers be exceptional every day. Our promise to our people: a place to work where you can thrive and be your best every day. Our promise to our customers: a trusted partner creating exceptional environments for your customers and people, adding value every day. Our culture – our core values and how we behave:We look for people who are passionate about maintenance and innovative technologyPeople who enjoy problem solving and getting hands on in their work, and want to deliver the exceptional, every dayYou should be able to engage with and enjoy the theoretical side of the course which has a maths and science base.To recongnise this is a client facing role and therefore behave in line with company values, whilst staying true to whom they are as a personTo fully commit to developing their technical and behavioural know-howTo attend and pass all courses, assessments and trainingTo raise and concerns and queries with the line manager and Apprenticeship manager as appropriateTo ensure they attend all reviews and meetings with the apprenticeship manager/team, line manager and providerTo comply with all company, Provider and Mitie policies and proceduresTo attend the site, NVQ and Training Provider insititue on the required dates and timesTo ensure coursework does not fall behind scheduleTo maintain accurate and up-to-date records to the specified standards at all times for the site, NVQ and Training provider instituteTo ensure that all collage assignments are handed in on timeTo keep designated manager/supervisor aware of progress and in particular to ensure that any coursework (NVQ) requirements are knownTo be pro-active and involved when looking at forthcoming in-company workTo make records available for review as and when requestedTo represent the company in a courteous and professional mannerTo ensure that personal and colleague health and safety is of upmost priority when working, and if in any doubt to not complete activities , and to raise concerns with managersTo adhere to agreements, terms and conditions that is stated in their contract*Must have Maths, Science and English GCSE Grade C / Level 4-9 or above – and be able to provide certificates *Has a keen interest in the chosen field/roleIs passionate and has enthusiasm to take on new skills and develop fresh new ideasIs self motivated and hard workingHas a logical, methodical approach to problem solvingHas a good level of accuracy and attention to detailEnergetic and determined, with a strong desire and focus to deliver added value and exceed client and Mitie business targetsA team player with excellent communication skills, attention to detail, excellent written English and a high level of numeracyGood Time managementBe able to implement change and adjust existing requirements to meet the work instructionsExercising responsibilities in an ethical mannerFollow Group and company policies and procedures at all timesReport any apparent deficiencies in systems of work or equipment provided that may result in failure of service delivery or risk to health and safety or the environmentUse all work equipment and personal PPE properly and in accordance with training receivedReport any issues or training needs to your Line manager and /or via your divisional incident reporting system;",,,,
apprentice electrical at mitie 2592547635,Apprentice,,TRUE,Apprentice Electrical,apprentice,Mitie,"Barton, England, United Kingdom","Our purpose: our expertise, care, technology and insight create amazing work environments, helping our customers be exceptional every day. Our promise to our people: a place to work where you can thrive and be your best every day. Our promise to our customers: a trusted partner creating exceptional environments for your customers and people, adding value every day. Our culture – our core values and how we behave:We look for people who are passionate about maintenance and innovative technologyPeople who enjoy problem solving and getting hands on in their work, and want to deliver the exceptional, every dayYou should be able to engage with and enjoy the theoretical side of the course which has a maths and science base.To recognise this is a client facing role and therefore behave in line with company values, whilst staying true to whom they are as a personTo fully commit to developing their technical and behavioural know-howTo attend and pass all courses, assessments and trainingTo raise and concerns and queries with the line manager and Apprenticeship manager as appropriateTo ensure they attend all reviews and meetings with the apprenticeship manager/team, line manager and providerTo comply with all company, Provider and mitie policies and proceduresTo attend the site, NVQ and Training Provider institute on the required dates and timesTo ensure coursework does not fall behind scheduleTo maintain accurate and up-to-date records to the specified standards at all times for the site, NVQ and Training provider instituteTo ensure that all collage assignments are handed in on timeTo keep designated manager/supervisor aware of progress and in particular to ensure that any coursework (NVQ) requirements are knownTo be pro-active and involved when looking at forthcoming in-company workTo make records available for review as and when requestedTo represent the company in a courteous and professional mannerTo ensure that personal and colleague health and safety is of upmost priority when working, and if in any doubt to not complete activities , and to raise concerns with managersTo adhere to agreements, terms and conditions that is stated in their contractFor any such queries or a copy, then the Mitie TFM HR Admin hub should be contacted*Must have Maths, Science and English GCSE Grade C / Level 4-9 or above – and be able to provide certificates *Has a keen interest in the chosen field/roleIs passionate and has enthusiasm to take on new skills and develop fresh new ideasIs self motivated and hard workingHas a logical, methodical approach to problem solvingHas a good level of accuracy and attention to detailEnergetic and determined, with a strong desire and focus to deliver added value and exceed client and Mitie business targetsA team player with excellent communication skills, attention to detail, excellent written English and a high level of numeracyGood Time managementBe able to implement change and adjust existing requirements to meet the work instructionsExercising responsibilities in an ethical mannerFollow Group and company policies and procedures at all timesReport any apparent deficiencies in systems of work or equipment provided that may result in failure of service delivery or risk to health and safety or the environmentUse all work equipment and personal PPE properly and in accordance with training receivedReport any issues or training needs to your Line manager and /or via your divisional incident reporting system",,,,
